Rok;Mesic;Den;Hodnota;
2010;09;1;6.5;
2010;09;2;3.8;
2010;09;3;6.2;
2010;09;4;6.5;
2010;09;5;5.9;
2010;09;6;9.3;
2010;09;7;7.4;
2010;09;8;0;
2010;09;9;1;
2010;09;10;7.4;
2010;09;11;7.8;
2010;09;12;9.5;
2010;09;13;3;
2010;09;14;4.6;
2010;09;15;0;
2010;09;16;3.7;
2010;09;17;6.2;
2010;09;18;7;
2010;09;19;8.1;
2010;09;20;8.6;
2010;09;21;11.5;
2010;09;22;11;
2010;09;23;10.8;
2010;09;24;10.3;
2010;09;25;0;
2010;09;26;0;
2010;09;27;0;
2010;09;28;0;
2010;09;29;.1;
2010;09;30;8.6;
2010;10;1;9.1;
2010;10;2;8;
2010;10;3;.1;
2010;10;4;0;
2010;10;5;0;
2010;10;6;0;
2010;10;7;3.7;
2010;10;8;9.9;
2010;10;9;8.8;
2010;10;10;10;
2010;10;11;9.6;
2010;10;12;9.8;
2010;10;13;6.8;
2010;10;14;;
2010;10;15;;
2010;10;16;;
2010;10;17;;
2010;10;18;0;
2010;10;19;.3;
2010;10;20;1.5;
2010;10;21;3.1;
2010;10;22;7.8;
2010;10;23;7.8;
2010;10;24;0;
2010;10;25;0;
2010;10;26;6.3;
2010;10;27;8.7;
2010;10;28;2.5;
2010;10;29;8.5;
2010;10;30;8.7;
2010;10;31;3.9;
2010;11;1;2.3;
2010;11;2;4.7;
2010;11;3;2.5;
2010;11;4;.3;
2010;11;5;2.9;
2010;11;6;.1;
2010;11;7;0;
2010;11;8;0;
2010;11;9;4.1;
2010;11;10;0;
2010;11;11;5.8;
2010;11;12;4.9;
2010;11;13;1.2;
2010;11;14;8.4;
2010;11;15;1.8;
2010;11;16;0;
2010;11;17;0;
2010;11;18;0;
2010;11;19;2.1;
2010;11;20;.2;
2010;11;21;0;
2010;11;22;0;
2010;11;23;0;
2010;11;24;0;
2010;11;25;4.8;
2010;11;26;1.6;
2010;11;27;5.7;
2010;11;28;0;
2010;11;29;0;
2010;11;30;3;
2010;12;1;0;
2010;12;2;.2;
2010;12;3;0;
2010;12;4;0;
2010;12;5;0;
2010;12;6;0;
2010;12;7;0;
2010;12;8;.3;
2010;12;9;.7;
2010;12;10;.2;
2010;12;11;0;
2010;12;12;0;
2010;12;13;2.6;
2010;12;14;0;
2010;12;15;0;
2010;12;16;3.4;
2010;12;17;0;
2010;12;18;1.4;
2010;12;19;0;
2010;12;20;.4;
2010;12;21;0;
2010;12;22;0;
2010;12;23;0;
2010;12;24;0;
2010;12;25;0;
2010;12;26;4.3;
2010;12;27;.4;
2010;12;28;2.2;
2010;12;29;0;
2010;12;30;.3;
2010;12;31;0;
2011;01;1;.6;
2011;01;2;.8;
2011;01;3;1;
2011;01;4;3.9;
2011;01;5;0;
2011;01;6;0;
2011;01;7;.1;
2011;01;8;0;
2011;01;9;.5;
2011;01;10;0;
2011;01;11;0;
2011;01;12;1.4;
2011;01;13;0;
2011;01;14;0;
2011;01;15;.3;
2011;01;16;4.5;
2011;01;17;.3;
2011;01;18;1.2;
2011;01;19;.6;
2011;01;20;.1;
2011;01;21;0;
2011;01;22;1.1;
2011;01;23;.1;
2011;01;24;1.4;
2011;01;25;.3;
2011;01;26;0;
2011;01;27;0;
2011;01;28;6.9;
2011;01;29;7.9;
2011;01;30;7.6;
2011;01;31;0;
2011;02;1;0;
2011;02;2;0;
2011;02;3;1.4;
2011;02;4;0;
2011;02;5;5.3;
2011;02;6;2;
2011;02;7;8.8;
2011;02;8;2.9;
2011;02;9;8.7;
2011;02;10;6.4;
2011;02;11;.5;
2011;02;12;8;
2011;02;13;.3;
2011;02;14;0;
2011;02;15;3.8;
2011;02;16;0;
2011;02;17;0;
2011;02;18;0;
2011;02;19;0;
2011;02;20;5.2;
2011;02;21;8.7;
2011;02;22;6;
2011;02;23;4.7;
2011;02;24;8.8;
2011;02;25;9.5;
2011;02;26;9.6;
2011;02;27;2.2;
2011;02;28;9.4;
2011;03;1;9.5;
2011;03;2;10.2;
2011;03;3;2.9;
2011;03;4;9.7;
2011;03;5;8.1;
2011;03;6;8.7;
2011;03;7;10.6;
2011;03;8;10.6;
2011;03;9;7.9;
2011;03;10;.8;
2011;03;11;.7;
2011;03;12;8.6;
2011;03;13;6.9;
2011;03;14;2.9;
2011;03;15;8.7;
2011;03;16;2.2;
2011;03;17;0;
2011;03;18;0;
2011;03;19;1.6;
2011;03;20;1.9;
2011;03;21;11.1;
2011;03;22;11.2;
2011;03;23;8.2;
2011;03;24;11.2;
2011;03;25;3.8;
2011;03;26;1.1;
2011;03;27;6;
2011;03;28;6.8;
2011;03;29;11.6;
2011;03;30;11;
2011;03;31;4.3;
2011;04;1;6.3;
2011;04;2;4.8;
2011;04;3;11.4;
2011;04;4;.4;
2011;04;5;8.9;
2011;04;6;2.7;
2011;04;7;8.1;
2011;04;8;7.1;
2011;04;9;7.3;
2011;04;10;12.3;
2011;04;11;7.6;
2011;04;12;4.1;
2011;04;13;.1;
2011;04;14;.7;
2011;04;15;1;
2011;04;16;11.6;
2011;04;17;4.5;
2011;04;18;12.5;
2011;04;19;12.4;
2011;04;20;13.1;
2011;04;21;13;
2011;04;22;13.1;
2011;04;23;10.7;
2011;04;24;9.9;
2011;04;25;1.9;
2011;04;26;2;
2011;04;27;1.4;
2011;04;28;6.5;
2011;04;29;7;
2011;04;30;8.4;
2011;05;1;4.2;
2011;05;2;4.4;
2011;05;3;0;
2011;05;4;7.5;
2011;05;5;8;
2011;05;6;13.7;
2011;05;7;14.1;
2011;05;8;11;
2011;05;9;14.1;
2011;05;10;13.9;
2011;05;11;13.3;
2011;05;12;5.8;
2011;05;13;10.4;
2011;05;14;5.7;
2011;05;15;0;
2011;05;16;8.6;
2011;05;17;2.8;
2011;05;18;13.5;
2011;05;19;12.6;
2011;05;20;9.3;
2011;05;21;10.5;
2011;05;22;11.7;
2011;05;23;11.3;
2011;05;24;12.8;
2011;05;25;14.9;
2011;05;26;14;
2011;05;27;.5;
2011;05;28;2.6;
2011;05;29;13.9;
2011;05;30;14.9;
2011;05;31;12.3;
2011;06;1;4.6;
2011;06;2;5.5;
2011;06;3;11.4;
2011;06;4;12.3;
2011;06;5;12.7;
2011;06;6;8.6;
2011;06;7;12.9;
2011;06;8;4.4;
2011;06;9;5.6;
2011;06;10;11.4;
2011;06;11;9.5;
2011;06;12;4.9;
2011;06;13;11.9;
2011;06;14;7.2;
2011;06;15;12.2;
2011;06;16;11.5;
2011;06;17;9.3;
2011;06;18;0;
2011;06;19;9.7;
2011;06;20;4.8;
2011;06;21;4.4;
2011;06;22;9.9;
2011;06;23;6.8;
2011;06;24;7.2;
2011;06;25;7.3;
2011;06;26;1.9;
2011;06;27;11.9;
2011;06;28;15.4;
2011;06;29;15.5;
2011;06;30;9.3;
2011;07;1;8.7;
2011;07;2;3.1;
2011;07;3;0;
2011;07;4;.3;
2011;07;5;7.1;
2011;07;6;14.3;
2011;07;7;10.2;
2011;07;8;6.1;
2011;07;9;9.8;
2011;07;10;11.5;
2011;07;11;6.3;
2011;07;12;14.5;
2011;07;13;7.7;
2011;07;14;4.4;
2011;07;15;7.3;
2011;07;16;13;
2011;07;17;12.4;
2011;07;18;3.3;
2011;07;19;12.2;
2011;07;20;1;
2011;07;21;0;
2011;07;22;.8;
2011;07;23;11.4;
2011;07;24;.6;
2011;07;25;10.7;
2011;07;26;.9;
2011;07;27;6;
2011;07;28;10.4;
2011;07;29;6.2;
2011;07;30;0;
2011;07;31;0;
2011;08;1;1;
2011;08;2;8.7;
2011;08;3;13.8;
2011;08;4;2;
2011;08;5;5.2;
2011;08;6;5.7;
2011;08;7;.1;
2011;08;8;2.6;
2011;08;9;6.8;
2011;08;10;.6;
2011;08;11;7.5;
2011;08;12;5.9;
2011;08;13;2.8;
2011;08;14;7.9;
2011;08;15;1.2;
2011;08;16;3.8;
2011;08;17;10.3;
2011;08;18;12.5;
2011;08;19;6.9;
2011;08;20;13.4;
2011;08;21;10.5;
2011;08;22;10.7;
2011;08;23;12.4;
2011;08;24;9.8;
2011;08;25;9.9;
2011;08;26;12.8;
2011;08;27;4.2;
2011;08;28;9.4;
2011;08;29;10.5;
2011;08;30;7.6;
2011;08;31;8.8;
2011;09;1;10.2;
2011;09;2;12.1;
2011;09;3;12.5;
2011;09;4;12.2;
2011;09;5;3.3;
2011;09;6;11.6;
2011;09;7;1.1;
2011;09;8;0;
2011;09;9;1.5;
2011;09;10;4.6;
2011;09;11;11.6;
2011;09;12;9.9;
2011;09;13;5.3;
2011;09;14;8.4;
2011;09;15;10.2;
2011;09;16;10.3;
2011;09;17;7.1;
2011;09;18;.1;
2011;09;19;0;
2011;09;20;0;
2011;09;21;3.4;
2011;09;22;5;
2011;09;23;5.5;
2011;09;24;11;
2011;09;25;10.6;
2011;09;26;10.2;
2011;09;27;9.7;
2011;09;28;9.1;
2011;09;29;10.1;
2011;09;30;11;
2011;10;1;8.9;
