"Datum";"-A d/789171 [kWh]";"Status";
21.07.2023 00:00;39,2135;namìøená data OK;
22.07.2023 00:00;31,9105;namìøená data OK;
23.07.2023 00:00;38,887;namìøená data OK;
24.07.2023 00:00;33,906;namìøená data OK;
25.07.2023 00:00;19,706;namìøená data OK;
26.07.2023 00:00;20,0858;namìøená data OK;
27.07.2023 00:00;24,3888;namìøená data OK;
28.07.2023 00:00;35,077;namìøená data OK;
29.07.2023 00:00;19,739;namìøená data OK;
30.07.2023 00:00;21,9288;namìøená data OK;
31.07.2023 00:00;12,3707;namìøená data OK;
01.08.2023 00:00;17,1133;namìøená data OK;
02.08.2023 00:00;4,5308;namìøená data OK;
03.08.2023 00:00;23,2643;namìøená data OK;
04.08.2023 00:00;26,8008;namìøená data OK;
05.08.2023 00:00;28,4642;namìøená data OK;
06.08.2023 00:00;2,7492;namìøená data OK;
07.08.2023 00:00;3,49;namìøená data OK;
08.08.2023 00:00;6,717;namìøená data OK;
09.08.2023 00:00;26,198;namìøená data OK;
10.08.2023 00:00;19,2775;namìøená data OK;
11.08.2023 00:00;50,202;namìøená data OK;
12.08.2023 00:00;31,0008;namìøená data OK;
13.08.2023 00:00;42,8597;namìøená data OK;
14.08.2023 00:00;30,2407;namìøená data OK;
15.08.2023 00:00;31,0515;namìøená data OK;
16.08.2023 00:00;27,1578;namìøená data OK;
17.08.2023 00:00;35,6773;neplatná data;
18.08.2023 00:00;27,8712;namìøená data, vıpadek napìtí;
19.08.2023 00:00;34,9348;namìøená data OK;
20.08.2023 00:00;36,3308;namìøená data OK;
21.08.2023 00:00;18,5205;namìøená data OK;
22.08.2023 00:00;27,0497;namìøená data OK;
23.08.2023 00:00;29,188;namìøená data OK;
24.08.2023 00:00;37,333;namìøená data OK;
25.08.2023 00:00;36,7803;namìøená data OK;
26.08.2023 00:00;30,0925;namìøená data OK;
27.08.2023 00:00;16,7703;namìøená data OK;
28.08.2023 00:00;0,227;namìøená data OK;
29.08.2023 00:00;0,1925;namìøená data OK;
30.08.2023 00:00;0,1265;namìøená data OK;
31.08.2023 00:00;1,6955;namìøená data, vıpadek napìtí;
01.09.2023 00:00;23,875;namìøená data OK;
02.09.2023 00:00;5,4967;namìøená data, vıpadek napìtí;
03.09.2023 00:00;14,605;namìøená data OK;
04.09.2023 00:00;6,1495;namìøená data OK;
05.09.2023 00:00;37,9075;namìøená data OK;
06.09.2023 00:00;37,4175;namìøená data OK;
07.09.2023 00:00;38,0925;namìøená data OK;
08.09.2023 00:00;41,6553;namìøená data OK;
09.09.2023 00:00;34,3422;namìøená data OK;
10.09.2023 00:00;37,403;namìøená data OK;
11.09.2023 00:00;37,6557;namìøená data OK;
12.09.2023 00:00;32,084;namìøená data OK;
13.09.2023 00:00;32,6355;namìøená data OK;
14.09.2023 00:00;26,5877;namìøená data OK;
15.09.2023 00:00;8,7475;namìøená data OK;
16.09.2023 00:00;25,4;namìøená data OK;
17.09.2023 00:00;31,4767;namìøená data OK;
18.09.2023 00:00;28,8667;namìøená data OK;
19.09.2023 00:00;25,5482;namìøená data OK;
20.09.2023 00:00;12,577;namìøená data OK;
21.09.2023 00:00;34,895;namìøená data OK;
22.09.2023 00:00;19,4097;namìøená data OK;
23.09.2023 00:00;2,6178;namìøená data OK;
24.09.2023 00:00;6,5335;namìøená data OK;
25.09.2023 00:00;11,0292;namìøená data OK;
26.09.2023 00:00;21,1075;namìøená data OK;
27.09.2023 00:00;26,5905;namìøená data OK;
28.09.2023 00:00;30,264;namìøená data OK;
29.09.2023 00:00;28,3945;namìøená data OK;
30.09.2023 00:00;26,5568;namìøená data OK;
01.10.2023 00:00;18,1455;namìøená data OK;
02.10.2023 00:00;9,134;namìøená data OK;
03.10.2023 00:00;22,467;namìøená data OK;
04.10.2023 00:00;21,7785;namìøená data OK;
05.10.2023 00:00;19,1403;namìøená data OK;
06.10.2023 00:00;20,765;namìøená data OK;
07.10.2023 00:00;23,8438;namìøená data OK;
08.10.2023 00:00;3,9213;namìøená data OK;
09.10.2023 00:00;0,333;namìøená data OK;
10.10.2023 00:00;0,2243;namìøená data OK;
11.10.2023 00:00;3,9867;namìøená data, vıpadek napìtí;
12.10.2023 00:00;18,464;namìøená data OK;
13.10.2023 00:00;5,0217;namìøená data OK;
14.10.2023 00:00;0,2935;namìøená data OK;
15.10.2023 00:00;0,3473;namìøená data OK;
16.10.2023 00:00;9,4452;namìøená data OK;
17.10.2023 00:00;12,933;namìøená data OK;
18.10.2023 00:00;12,9153;namìøená data OK;
19.10.2023 00:00;20,3265;namìøená data OK;
20.10.2023 00:00;0,1108;namìøená data OK;
21.10.2023 00:00;0,2198;namìøená data OK;
22.10.2023 00:00;14,8428;namìøená data OK;
23.10.2023 00:00;0,221;namìøená data OK;
24.10.2023 00:00;15,6762;namìøená data OK;
25.10.2023 00:00;0,0958;namìøená data OK;
26.10.2023 00:00;6,6875;namìøená data OK;
27.10.2023 00:00;3,1143;namìøená data OK;
28.10.2023 00:00;0,0415;namìøená data OK;
29.10.2023 00:00;2,951;namìøená data OK;
30.10.2023 00:00;1,4717;namìøená data OK;
31.10.2023 00:00;6,3087;namìøená data OK;
01.11.2023 00:00;0,119;namìøená data OK;
02.11.2023 00:00;3,4478;namìøená data OK;
03.11.2023 00:00;3,1305;namìøená data OK;
