#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 23:16
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P1PKAR01;Praha, Karlov;01.01.1961;31.12.2002;14.4186;50.0675;260.5
P1PKAR01;Praha, Karlov;01.01.2003;31.12.2023;14.427778;50.069167;260.5

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Pyranometr;01.01.1984;31.12.2023;1.5

PRVEK
Denní úhrn globálního záøení [RGLB_D.SUM, kJ/m2]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1984;09;9;3985;
1984;09;10;5731;
1984;09;11;6217;
1984;09;12;9234;
1984;09;13;12128;
1984;09;14;13867;
1984;09;15;3953;
1984;09;16;7636;
1984;09;17;1786;
1984;09;18;11128;
1984;09;19;10454;
1984;09;20;7985;
1984;09;21;8924;
1984;09;22;4115;
1984;09;23;10202;
1984;09;24;6098;
1984;09;25;9605;
1984;09;26;5144;
1984;09;27;3053;
1984;09;28;11671;
1984;09;29;11203;
1984;09;30;3193;
1984;10;1;4439;
1984;10;2;2653;
1984;10;3;12632;
1984;10;4;8852;
1984;10;5;7153;
1984;10;6;10487;
1984;10;7;9245;
1984;10;8;8341;
1984;10;9;5839;
1984;10;10;3989;
1984;10;11;8176;
1984;10;12;7819;
1984;10;13;10933;
1984;10;14;6253;
1984;10;15;7819;
1984;10;16;7592;
1984;10;17;10753;
1984;10;18;9475;
1984;10;19;8874;
1984;10;20;10458;
1984;10;21;6498;
1984;10;22;7841;
1984;10;23;3913;
1984;10;24;2898;
1984;10;25;6869;
1984;10;26;3816;
1984;10;27;6822;
1984;10;28;2362;
1984;10;29;3946;
1984;10;30;4903;
